sentiment,text
neutral,"proha plc ( euronext : 7327 ) announced today ( 19 may ) that its fully-owned subsidiary , safran software solutions as , has agreed to sell its 49 % share of safran north america llc to a sna holding as , an investment group based in norway"
neutral,l & t has also made a commitment to redeem the remaining shares by the end of 2011
neutral,sales were down 14 per cent in finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in russia and lithuania
positive,finnish-swedish tietoenator is expanding its business quickly in russia
positive,"furthermore , efficiency improvement measures initiated earlier are now bearing fruit , ceo jan lang said"
neutral,temporary layoffs in these units have already started
neutral,the transaction will take place without payment of merger consideration
neutral,rushydro has an agreement to transfer its stakes in oesk and the five ercs into the trust management of inter rao
positive,"it also has strong assets in electronic media , employing 18 , 500 an increase of 9 percent on last year"
neutral,insurance policies should be simple
neutral,"to check them out or to make a bid they will be in the deka showroom , fortitude valley"
negative,operating_profit for continuing operations fell to eur 48.3 mn from eur 72.4 mn in the first half of 2007
negative,"operating_profit for the 12 -month period decreased from eur 5.4 m while net_sales increased from eur 62.0 m , as compared to the financial year 2004"
neutral,"zip , experts warned tuesday"
neutral,"the shares subscribed for under the stock options were registered in the trade register on 20 january 2011 , as of which date the new shares will establish shareholder rights"
neutral,"upm is the biggest producer of magazine paper in europe , with a market_share of over 30 pct , and it is likely to say that prices in the segment were at best flat during the quarter , analysts said"
neutral,"our customers include companies in the energy and process industry sectors , in particular"
neutral,"swedish engineering consultant firm etteplan is to establish a unit in town borl+ nge , by the turn of the month march-april 2008"
positive,nokian capacitors equipment will be used to raise the capacity and reliability of the indian grid
neutral,"simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions"
neutral,metso paper s delivery will comprise an advantage dct 200 tissue machine including quality control and distributed control systems ( qcs-dcs )
neutral,"the broad-based wig index ended thursday s session 0.1 pct up at 65 , 003.34 pts , while the blue-chip wig 20 was 1.13 down at 3 , 687.15 pts"
neutral,"the latest date for registration is on 4 april , 2006"
negative,comparable operating_profit decreased to eur 13.8 mn from eur 17.1 mn in the corresponding period in 2005
positive,"its main business area , the glass machinery group of glaston technologies , is the global market leader in glass processing machines"
neutral,measures will be launched immediately and are due to be finalized in the first quarter of 2010
neutral,combined net_sales in 2006 were $ 27 million and ebitda was $ 13.7 million
neutral,"during the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them"
neutral,cs cabot s main consumers on the czech and slovak market are tires producers barum continental and matador continental
neutral,"metso will provide a recovery boiler with a capacity of 6 , 800 tonnes of dry solids per day and an evaporation plant with six thermal stages and a capacity of 1 , 600 tonnes per hour"
neutral,"the 19 , 200 -square metre technology center is located near university of tampere in central tampere"
neutral,"the contract includes software licences , application maintenance and training"
negative,"operating_profit for the 12 -month period decreased from eur 157.5 m , while net_sales increased from eur 634.3 m , as compared to 2007"
negative,"operating_profit for the six-month period decreased from eur 21 m , while net_sales increased from eur 436.9 m , as compared to the corresponding period in 2007"
neutral,"finnish w+ rtsil+ that provides power solutions for the marine and energy markets has opened a service centre in murmansk , in russia"
neutral,"tyrvaan sanomat , published twice a week by tyrvaan sanomat oy , appears in sastamala and kiikoinen"
neutral,"baltic pearl cjsc , a subsidiary of shanghai foreign joint investment company , is developing a project in st petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries"
neutral,"also in latvia , we act as a partner for bakery customers in both production and product development"
neutral,l & t also acquired a 50 pct stake in local sector company salvor oy at the beginning of september 2007
positive,tomtom has given assurances that it will continue to sell maps to competitors if it wins eu approval
negative,"there s the issue of thieves stealing them from building sites , said mr smith"
neutral,no financial details were reported
positive,"repair and maintenance business accounted for net_sales of eur 645.3 mn , up from eur 563.6 mn"
